Crime,Date,Address
Robbery,05/21/10. 10:37 PM.,200 BLOCK OF SOUTH JACKSON AVENUE SAN JOSE
Burglary,05/21/10. 04:45 AM.,500 BLOCK OF UNIVERSITY AVENUE SAN JOSE
Burglary,05/21/10. 03:54 AM.,2000 BLOCK OF SOUTHWEST EXPRESSWAY SAN JOSE
Shooting,05/21/10. 08:30 AM.,1600 BLOCK OF STORY ROAD SAN JOSE
Robbery,05/24/10. 09:27 PM.,SOUTH SECOND AND REED STREETS SAN JOSE
Assault,05/24/10. 08:08 PM.,100 BLOCK OF OAK STREET SAN JOSE
Arrest,05/24/10. 05:26 PM.,WILLOW AND LELONG STREETS SAN JOSE
Arrest,05/24/10. 04:00 PM.,SECOND AND ST. JAMES STREETS SAN JOSE
Burglary,05/24/10. 01:57 PM.,PROUD DRIVE AND PIEDMONT ROAD SAN JOSE
Arrest,05/24/10. 10:05 PM.,WINCHESTER BOULEVARD AND PAYNE AVENUE SAN JOSE
Arrest,05/24/10. 11:22 AM.,WEST MISSION STREET AND GUADALUPE PARKWAY SAN JOSE
Robbery,05/24/10. 10:08 AM.,600 BLOCK OF SUNSET AVENUE SAN JOSE
Robbery,05/25/10. 05:00 AM.,SOUTH 13TH AND EAST SAN CARLOS STREETS SAN JOSE
Robbery,05/26/10. 04:20 PM.,1700 BLOCK OF MCLAUGHLIN AVENUE SAN JOSE
Assault,05/26/10. 12:20 AM.,1000 BLOCK OF EAST CAPITOL EXPRESSWAY SAN JOSE
Arrest,05/27/10. 08:49 PM.,100 BLOCK OF PRINDIVILLE COURT SAN JOSE
Robbery,05/27/10. 02:05 PM.,600 BLOCK OF SYLVANDALE AVE SAN JOSE
Shooting,05/27/10. 02:08 AM.,1600 BLOCK OF CAPITOL EXPRESSWAY SAN JOSE
Robbery,05/27/10. 12:50 AM.,SANTA TERESA BOULEVARD AND MIYUKI DRIVE SAN JOSE
Burglary,05/28/10. 02:46 AM.,1600 BLOCK OF KINGMAN AVENUE SAN JOSE
Theft,05/29/10. 08:42 AM.,700 BLOCK OF RIDDER PARK DRIVE SAN JOSE
Robbery,05/31/10. 11:45 PM.,900 BLOCK OF LINCOLN AVENUE SAN JOSE
Assault,05/31/10. 11:00 PM.,800 BLOCK OF PACIFIC AVENUE SAN JOSE
Arrest,05/31/10. 07:16 PM.,1100 BLOCK OF PLUM STREET SAN JOSE
Robbery,06/01/10. ,100 BLOCK OF SOUTH MARKET STREET SAN JOSE
Assault,06/02/10. 04:30 PM.,900 BLOCK OF FELIPE AVENUE SAN JOSE
Robbery,06/02/10. ,100 BLOCK OF SOUTH MARKET STREET SAN JOSE
Arrest,06/05/10. 02:43 PM.,WOOSTER AND TRIPP AVENUE SAN JOSE
Theft,06/05/10. 10:23 AM.,300 BLOCK OF SOUTH THIRD STREET SAN JOSE
Assault,06/05/10. 06:34 AM.,300 BLOCK OF NORTH 10TH STREET SAN JOSE
Robbery,06/05/10. 02:32 AM.,4200 BLOCK OF SENTER ROAD SAN JOSE
Robbery,06/05/10. 12:50 AM.,1300 BLOCK OF BLOSSOM HILL ROAD SAN JOSE
Shooting,06/06/10. 09:40 PM.,LEEWARD DRIVE AND STORY ROAD SAN JOSE
Assault,06/06/10. 02:00 PM.,ALVIN AVENUE AND FONTAINE ROAD SAN JOSE
Arrest,06/06/10. 12:06 PM.,ALUM ROCK AVENUE AND KING ROAD SAN JOSE
Shooting,06/06/10. 02:27 AM.,1700 BLOCK OF TAMPA SAN JOSE
Assault,06/06/10. 12:40 AM.,2000 BLOCK OF RIGOLETTO DRIVE SAN JOSE
Assault,06/07/10. 12:10 AM.,3300 BLOCK OF SAN FELIPE ROAD SAN JOSE
Assault,06/07/10. ,3300 BLOCK OF SAN FELIPE ROAD SAN JOSE
Shooting,06/07/10. 03:30 AM.,SAN TOMAS EXPRESSWAY SAN JOSE
Assault,06/08/10. 08:48 AM.,900 BLOCK OF CALIFORNIA AVENUE SAN JOSE
Vandalism,06/08/10. 05:36 PM.,1000 BLOCK OF SOUTH EIGHTH STREET SAN JOSE
Arrest,06/09/10. 03:30 PM.,SECOND STREET AND FOUNTAIN ALLEY SAN JOSE
Burglary,06/09/10. 11:30 AM.,400 BLOCK OF SOUTH 21ST STREET SAN JOSE
Robbery,06/09/10. 01:38 AM.,600 BLOCK OF BLOSSOM HILL ROAD SAN JOSE
Arrest,06/10/10. 07:52 PM.,OTHELLO AND ENESCO AVENUE SAN JOSE
Arrest,06/10/10. 10:31 AM.,SECOND AND EMPIRE STREETS SAN JOSE
Theft,06/10/10. 12:38 AM.,2000 BLOCK OF STORY ROAD SAN JOSE
Assault,06/11/10. 08:22 AM.,1600 BLOCK OF LUCRETIA AVENUE SAN JOSE
Arrest,06/11/10. 07:30 AM.,200 BLOCK OF BLOSSOM HILL ROAD SAN JOSE
Assault,06/11/10. 01:45 AM.,SANTA CLARA AND SECOND STREETS SAN JOSE
Robbery,06/11/10. 12:00 AM.,3000 BLOCK OF SWEIGERT ROAD SAN JOSE
Assault,06/12/10. 05:27 PM.,1500 BLOCK OF VIRGINIA PLACE SAN JOSE
Arrest,06/12/10. 12:53 PM.,1700 BLOCK OF STORY ROAD SAN JOSE
Arrest,06/13/10. 03:18 PM.,400 BLOCK OF PAGE STREET SAN JOSE
Robbery,06/14/10. 07:08 PM.,EVERDALE DRIVE AND PETTIGREW DRIVE SAN JOSE
Assault,06/14/10. 07:07 AM.,HAMILTON AVENUE AND ATHERTON AVENUE SAN JOSE
Assault,06/14/10. 03:10 PM.,SOUTH SECOND STREET AND KEYES STREET SAN JOSE
Arrest,06/14/10. 07:00 AM.,2500 BLOCK OF GLEN HAIG WAY SAN JOSE
Arrest,06/14/10. 12:13 PM.,700 BLOCK OF BLOSSOM HILL ROAD SAN JOSE
Arrest,06/15/10. 06:00 PM.,4100 BLOCK OF THE WOODS DRIVE SAN JOSE
Arrest,06/15/10. 04:23 PM.,WEST SAN CARLOS AVENUE AND BASCOM AVENUE SAN JOSE
Shooting,06/15/10. 03:36 PM.,1500 BLOCK OF MCLAUGHLIN AVENUE SAN JOSE
Robbery,06/15/10. 01:05 AM.,NORTH SIXTH STREET AND EAST ST. JAMES STREET SAN JOSE
Robbery,06/16/10. 09:55 AM.,3000 BLOCK OF SIERRA ROAD SAN JOSE
Vandalism,06/23/10. 10:48 PM.,500 BLOCK OF SOUTH FIFTH STREET SAN JOSE
Arrest,06/23/10. 08:02 PM.,3100 BLOCK OF RUBINO CIRCLE SAN JOSE
Robbery,06/23/10. 03:53 PM.,900 BLOCK OF EAST SANTA CLARA STREET SAN JOSE
Robbery,06/23/10. 03:30 PM.,13000 BLOCK OF SARATOGA-SUNNYVALE ROAD SARATOGA
Vandalism,06/24/10. 05:00 PM.,NORTH JACKSON AVENUE AND MOSSDALE WAY SAN JOSE
Assault,06/24/10. 01:22 PM.,1800 BLOCK OF LUCRETIA AVE SAN JOSE
Assault,06/25/10. 07:46 PM.,1600 BLOCK OF VIRGINIA AVENUE SAN JOSE
Theft,06/25/10. 03:36 AM.,1700 BLOCK OF CAPITOL EXPRESSWAY SAN JOSE
Shooting,06/25/10. 05:57 AM.,1400 BLOCK OF SANBORN SAN JOSE
Arrest,06/30/10. 10:00 PM.,2000 BLOCK OF LUCRETIA AVENUE SAN JOSE
Arrest,06/30/10. 08:00 PM.,3800 BLOCK OF REXWOOD COURT SAN JOSE
